年份,近海漁業產量(千噸),沿岸漁業產量(千噸)
1959,88.168,33.573
1960,91.169,31.76
1961,109.598,37.85
1962,125.279,38.113
1963,136.559,43.013
1964,153.744,38.273
1965,153.944,36.309
1966,165.56,30.773
1967,179.522,32.264
1968,201.275,30.774
1969,215.14,32.323
1970,230.306,32.527
1971,245.507,32.417
1972,237.905,28.311
1973,259.45,26.979
1974,238.015,21.748
1975,292.739,30.062
1976,313.864,33.322
1977,341.62,33.839
1978,354.44,32.667
1979,363.805,37.284
1980,370.129,38.072
1981,345.58,39.891
1982,345.083,41.483
1983,319.634,47.77
1984,333.392,52.037
1985,315.379,55.506
1986,305.839,57.078
1987,300.15,54.405
1988,307.66,49.544
1989,333.309,50.284
1990,291.91,48.846
1991,266.566,41.611
1992,280.188,45.724
1993,258.071,43.974
1994,241.698,40.375
1995,255.816,43.685
1996,256.252,41.435
1997,246.305,41.846
1998,208.873,44.145
1999,206.22,40.515
2000,169.008,44.101
2001,159.8,49.654
2002,185.656,49.962
2003,193.159,64.062
2004,196.674,57.347
2005,201.162,53.461
2006,154.74,54.514
2007,135.417,54.303
2008,133.323,47.593
2009,147.364,40.553
2010,128.782,34.765
2011,163.536,28.138
2012,148.25,33.056
2013,125.021,27.566
2014,139.929,29.408
2015,135.2983409,25.26387438
2016,138.1201962,26.21452575
2017,158.702,26.681
2018,161.53,26.39
2019,154.96,31.01
2020,150.01,24.55